quarter,UNRATE,GDP_growth,CPI_inflation,FEDFUNDS,HPI_growth
2007Q1,4.5,0.30083566670564554,0.9803953871499127,5.256666666666667,0.4201901837038724
2007Q2,4.5,0.6117619579946387,1.1325538256728551,5.25,-1.5175614905215684
2007Q3,4.666666666666667,0.5760257959612325,0.6330124715071772,5.073333333333333,-1.850016518004638
2007Q4,4.8,0.6282367318126258,1.2266417875755442,4.496666666666667,-1.6219753917498747
2008Q1,5.0,-0.42676432089947536,1.083188565076032,3.1766666666666663,-2.1642026511767387
2008Q2,5.333333333333333,0.5954282618129358,1.3009373203260566,2.0866666666666664,-2.860390115014011
2008Q3,6.0,-0.5252580505168858,1.5418805375084998,1.9400000000000002,-2.8292169753018404
2008Q4,6.866666666666667,-2.189026595298116,-2.2901902729738577,0.5066666666666667,-3.6572941086876476
2009Q1,8.266666666666667,-1.1348742974823023,-0.6878696149613561,0.18333333333333335,-3.8258253895684935
2009Q2,9.299999999999999,-0.1786509506351064,0.5317571056592474,0.18000000000000002,-1.4323350526685097
2009Q3,9.633333333333333,0.3511923951750484,0.8603933360498583,0.15666666666666665,0.22040628676254226
2009Q4,9.933333333333334,1.0809136508185713,0.7829333531466087,0.12,-0.1774213859106366
2010Q1,9.833333333333334,0.48450095056860043,0.15850343270515932,0.13333333333333333,-1.1330998051428787
2010Q2,9.633333333333333,0.9675861183124024,-0.03526947411681691,0.19333333333333336,-0.08795014639368937
2010Q3,9.466666666666667,0.7710849360473171,0.2931467175544489,0.18666666666666668,-1.5037662571636523
2010Q4,9.5,0.5251102608268665,0.8097240300212638,0.18666666666666668,-1.1967909609752247
2011Q1,9.033333333333333,-0.23720489710901127,1.0672177236431102,0.15666666666666668,-1.1515316261107356
2011Q2,9.066666666666666,0.6765822931436682,1.1370135904199108,0.09333333333333334,-0.4883576484868035
2011Q3,9.0,-0.022312735917140447,0.6520658151564662,0.08333333333333333,-0.49337481715829856
2011Q4,8.633333333333333,1.1230490567579965,0.4489026659863393,0.07333333333333335,-1.4256950712368766
2012Q1,8.266666666666667,0.838590819971663,0.5631718496290183,0.10333333333333333,-0.17632657819572906
2012Q2,8.2,0.4463347461653111,0.21110167041860084,0.15333333333333335,2.2615021532322865
2012Q3,8.033333333333333,0.14402799732293747,0.45147022831371064,0.14333333333333334,1.5512544461760092
2012Q4,7.8,0.11564055376036553,0.6649524381347582,0.16,1.600421718502898
2013Q1,7.733333333333333,0.9865606638638447,0.4019547390319733,0.14333333333333334,2.5095928570110893
2013Q2,7.533333333333334,0.26763633481292626,-0.10948517573591277,0.11666666666666665,3.148655123622457
2013Q3,7.233333333333333,0.851393569084391,0.540843370897881,0.08333333333333333,2.6663119144407332
2013Q4,6.933333333333334,0.8717417534272576,0.3697671095870936,0.08666666666666667,2.0243774986086427
2014Q1,6.666666666666667,-0.34509598528477126,0.6227864390565996,0.07333333333333335,1.5020029482064823
2014Q2,6.2,1.2918421292132942,0.5310788653529741,0.09333333333333334,0.7296320455543182
2014Q3,6.066666666666666,1.2153914093167906,0.2558340146661342,0.09000000000000001,0.9355215114964954
2014Q4,5.7,0.5057331362120498,-0.2484437176724863,0.09999999999999999,1.2758823137774655
2015Q1,5.533333333333334,0.9004849775657187,-0.6472810677323193,0.11,1.0972526848625819
2015Q2,5.433333333333334,0.6194050867588619,0.6819485458137597,0.12333333333333334,1.0057360849200503
2015Q3,5.1000000000000005,0.4002450612528241,0.37770087778528083,0.1366666666666667,1.217535159473515
2015Q4,5.033333333333333,0.18447912646364362,-0.007567635744465395,0.16,1.5710227163215906
2016Q1,4.8999999999999995,0.5795194060450148,-0.0620873399288846,0.36000000000000004,1.1429167813125751
2016Q2,4.933333333333334,0.3211240684381167,0.7997834708611151,0.37333333333333335,0.97409419746044
2016Q3,4.8999999999999995,0.7093902550786346,0.4244745544826012,0.39666666666666667,1.3480118914901196
2016Q4,4.766666666666667,0.5542991127484687,0.6347825364148019,0.45,1.5926153394872467
2017Q1,4.566666666666666,0.48689021004175714,0.7037406181684025,0.7000000000000001,1.4232813971869929
2017Q2,4.366666666666667,0.5598725623111145,0.1153768338628236,0.9500000000000001,1.1958457659658306
2017Q3,4.333333333333333,0.7885241305547019,0.4780435851220677,1.1533333333333333,1.5864615384615366
2017Q4,4.166666666666667,1.1270466267692791,0.7955306776687543,1.2033333333333334,1.7361489720010947
2018Q1,4.033333333333333,0.8134098018182323,0.8426417154837162,1.4466666666666665,1.635749331409797
2018Q2,3.9333333333333336,0.5308251410129694,0.5444105004913213,1.7366666666666666,1.1320363095248087
2018Q3,3.766666666666667,0.6236974253114314,0.4018419306496934,1.9233333333333331,1.096027355995366
2018Q4,3.8333333333333335,0.1416442191157108,0.4071205031659808,2.22,0.9862410855200787
